text,intent,urgency
My order #12052 was supposed to arrive this morning ago and there's still no update. I need this resolved today.,Support-Technical,High
Get a free black dress just by sharing this message with 5 friends!,Spam-Irrelevant,Medium
How do I apply a discount code at checkout?,Support-Technical,Low
Is there a warranty on the sneakers?,Support-Technical,Low
"CONGRATULATIONS!! You won a free earrings, click here to claim!!!",Spam-Irrelevant,Low
"Win a free jacket today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
"The sunglasses I received is completely broken and doesn't work at all. Very disappointed, I want my money back immediately.",Complaint,High
"HURRY!! Only 30 free beige dresss left, claim yours before they're gone!!!",Spam-Irrelevant,High
"HURRY!! Only 30 free grey sneakerss left, claim yours before they're gone!!!",Spam-Irrelevant,High
Do you have a size chart for the handbag?,Sales Inquiry,Low
Do you have this t-shirt in other colors?,Sales Inquiry,Low
Which courier do you use for delivery to Chittagong?,Support-Technical,Low
Packaging was a bit damaged but the sandals itself is fine.,Complaint,Low
"Payment was deducted twice for order #28242, please fix this immediately.",Support-Technical,High
"I paid for order #93948 but it got cancelled on your end without any explanation, please fix this urgently.",Support-Technical,High
"Win a free hoodie today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
My order #94529 was supposed to arrive 10 days ago and there's still no update. I need this resolved today.,Support-Technical,High
"Can someone reply fast, I need to know if the red earrings is available RIGHT NOW to place the order.",Sales Inquiry,High
FINAL WARNING!! Verify your account now or lose access to your free wrist watch forever!!!,Spam-Irrelevant,High
Last chance to order today — is the dress in size M still available?? Need confirmation immediately.,Sales Inquiry,High
Is this the number for the Chittagong branch?,Spam-Irrelevant,Low
Can you confirm if order #69432 has shipped yet? It's been 2 hours.,Support-Technical,Medium
"The red panjabi I received doesn't match what I ordered, please fix this.",Complaint,Medium
Special offer just for Rajshahi residents — reply to know more!,Spam-Irrelevant,Medium
Which courier do you use for delivery to Dhaka?,Support-Technical,Low
Last chance to order today — is the wrist watch in size free size still available?? Need confirmation immediately.,Sales Inquiry,High
"This is unacceptable, order #41359 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
Terrible service! My order #74330 never came and nobody is responding. I'm reporting this.,Complaint,High
"Not totally happy with the white shade, it looks different in person.",Complaint,Low
"I think I entered the wrong address for order #99658, can this still be corrected?",Support-Technical,Medium
"We noticed you like earringss! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
Do you have this dress in other colors?,Sales Inquiry,Low
I've been waiting 2 hours for a reply about my exchange. Is anyone even reading these messages??,Complaint,High
Can I get the olive hoodie delivered within this morning? It's for an occasion.,Sales Inquiry,Medium
"I need the earrings before 10 days, is that possible?",Sales Inquiry,Medium
Can I cancel my order if it hasn't shipped yet?,Support-Technical,Low
"HURRY!! Only 15 free blue jackets left, claim yours before they're gone!!!",Spam-Irrelevant,High
"HURRY!! Only 30 free black sneakerss left, claim yours before they're gone!!!",Spam-Irrelevant,High
"The sunglasses I got is a bit different from the picture, a little disappointed.",Complaint,Low
"Customer service hasn't replied in this morning, getting frustrated.",Complaint,Medium
"The wrist watch I got is a bit different from the picture, a little disappointed.",Complaint,Low
Terrible service! My order #14405 never came and nobody is responding. I'm reporting this.,Complaint,High
"Extremely disappointed, I messaged 2 weeks ago about my broken cap and still no response!!",Complaint,High
"Order #71080 shows delivered but I haven't received it, can you check with the courier?",Support-Technical,Medium
"This is unacceptable, order #38241 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
Terrible service! My order #57226 never came and nobody is responding. I'm reporting this.,Complaint,High
Terrible service! My order #98724 never came and nobody is responding. I'm reporting this.,Complaint,High
"I can get you 25 followers for cheap, interested?",Spam-Irrelevant,Medium
Special offer just for Barisal residents — reply to know more!,Spam-Irrelevant,Medium
"The red sunglasses I received doesn't match what I ordered, please fix this.",Complaint,Medium
Hello,Spam-Irrelevant,Low
"I need to order right now before the offer ends, is the sneakers still in stock??",Sales Inquiry,High
"I paid via bKash but haven't received confirmation, order #82173.",Support-Technical,Medium
Terrible service! My order #69925 never came and nobody is responding. I'm reporting this.,Complaint,High
"The wallet I got is a bit different from the picture, a little disappointed.",Complaint,Low
"HURRY!! Only 20 free beige perfumes left, claim yours before they're gone!!!",Spam-Irrelevant,High
"I paid via bKash but haven't received confirmation, order #99167.",Support-Technical,Medium
"Win a free perfume today, limited offer, message us back to claim!",Spam-Irrelevant,Medium
Can you confirm if order #41584 has shipped yet? It's been a week.,Support-Technical,Medium
.,Spam-Irrelevant,Low
"We noticed you like sneakerss! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"This is unacceptable, order #87207 arrived completely damaged and no one is helping me. I want a refund right now.",Complaint,High
Special offer just for Khulna residents — reply to know more!,Spam-Irrelevant,Medium
"Order #48253 tracking has been stuck for 2 hours, I need an answer right now.",Support-Technical,High
"We noticed you like kurtis! Get 90% off today only, limited stock!!",Spam-Irrelevant,Low
"CONGRATULATIONS!! You won a free wrist watch, click here to claim!!!",Spam-Irrelevant,Low
Packaging was a bit damaged but the dress itself is fine.,Complaint,Low
"CONGRATULATIONS!! You won a free sandals, click here to claim!!!",Spam-Irrelevant,Low
"I need to order right now before the offer ends, is the sunglasses still in stock??",Sales Inquiry,High
